title,epi,page,tb,words
EJ06,006,00011,24,"['FIRE', 'MAYBE', 'BUT', 'HOW', 'LONG', 'TO', 'FRY', 'STUFF', 'ISA', 'COOKING', 'THING']"
EJ05,007,00003,26,"['AM', 'I', 'MAG-', 'NING', 'ITZ']"
EJ05,008,00005,15,['OmvaAwWk&--']
EJ06,002,00002,5,"['THEY', 'SAY', 'MONSTERS', 'COME', 'UP', 'FROMTHE', '-', 'DLINGEON\xe2\x80\x99S', 'DEPTHS']"
EJ01,004,00006,22,"['TIME', 'FLY']"
EJ05,009,00008,10,"['tm', 'CALLING', 'OFF', 'TOLAYS', 'LEALSSS']"
EJ02,005,00002,3,[]
EJ03,001,00006,3,"['+AND', 'ALL', 'MY', 'BELOVED', 'ead', 'OD', 'eel', 'OT', 'THE', 'NEWEST', 'TO', 'THE', 'OLDESTI/!/']"
EJ05,006,00001,6,"['eee', 'AND', 'ASSISTANT', 'GOLOL|']"
EJ06,008,00005,1,[]
EJ07,005,00002,9,"['7', 'M', 'EX', 'CHANGE', 'FOR', 'GAINING', '=37RENGTH', 'Wave', 'Tor', '(SOME', 'THING', '|', 'IMPORTANT', 'AS', '/AJHUMAN', '(BENGAN|']"
EJ01,008,00007,8,"['REMEMBER', 'WHAT', 'I', 'TOLD', 'You', 'IF', 'YOU', 'ARE', 'EVER', 'FORCED', 'TO', 'CHOOSE', 'BETWEEN', 'FAMILY', 'AND', 'YOURSELF', '|']"
EJ06,005,00010,2,"['THE', 'VERY', 'PIc-', 'TURE', 'OF', 'HEALTH', 'GOOD', 'SIR']"
EJ07,008,00008,3,['OUCH']
EJ04,009,00004,8,"['WAIT', 'A', 'SEC']"
EJ08,001,00009,12,['YUUKI']
EJ01,005,00007,16,"['ACT', 'LIKE', 'A', 'PRINCE']"
EJ08,005,00001,2,['HuH']
EJ07,001,00009,0,"['I', 'EXIST', 'BECAUSE', 'OF', 'HUMANKIND\xe2\x80\x99S', 'CONSTANT', 'POLLUTION', 'OF', 'THE', 'ENVIRON-', 'MENT']"
EJ08,003,00003,6,"['SOUNDS', 'TOUGH']"
EJ08,009,00003,8,"['LA', 'AND', 'THEN', ""WE'LL"", 'SEE']"
